trade_id,timestamp,counterparty,sector,country,symbol,trade_type,quantity,price,notional,currency,kyc_ok,aml_flag
T00000,2025-01-01 00:00:00,CPTY_F,Broker,AE,MSFT,BUY,1397,94.47,131974.59,GBP,1,0
T00001,2025-01-01 00:01:00,CPTY_B,Broker,UK,TSLA,BUY,812,90.63,73591.56,USD,1,0
T00002,2025-01-01 00:02:00,CPTY_F,Broker,AE,EURUSD,BUY,2263,130.7,295774.1,INR,0,0
T00003,2025-01-01 00:03:00,CPTY_A,Bank,US,AAPL,BUY,624,121.7,75940.8,EUR,1,0
T00004,2025-01-01 00:04:00,CPTY_B,Broker,UK,EURUSD,BUY,1193,23.47,27999.71,EUR,1,0
T00005,2025-01-01 00:05:00,CPTY_F,Broker,AE,EURUSD,SELL,189,112.57,21275.73,EUR,1,0
T00006,2025-01-01 00:06:00,CPTY_D,Corporate,IN,INFY,BUY,2172,90.97,197586.84,EUR,1,0
T00007,2025-01-01 00:07:00,CPTY_F,Broker,AE,HDFCBANK,SELL,564,104.44,58904.16,GBP,1,0
T00008,2025-01-01 00:08:00,CPTY_B,Broker,UK,TSLA,SELL,519,88.33,45843.27,USD,1,0
T00009,2025-01-01 00:09:00,CPTY_A,Bank,US,HDFCBANK,BUY,989,57.69,57055.41,GBP,0,0
T00010,2025-01-01 00:10:00,CPTY_G,Bank,RU,TCS,SELL,1658,51.17,84839.86,USD,1,0
T00011,2025-01-01 00:11:00,CPTY_F,Broker,AE,USDINR,BUY,62,107.87,6687.94,INR,1,0
T00012,2025-01-01 00:12:00,CPTY_A,Bank,US,EURUSD,SELL,1590,106.85,169891.5,GBP,1,0
T00013,2025-01-01 00:13:00,CPTY_E,FinTech,SG,TSLA,BUY,907,87.96,79779.72,USD,1,0
T00014,2025-01-01 00:14:00,CPTY_F,Broker,AE,TSLA,SELL,631,142.28,89778.68,USD,1,0
T00015,2025-01-01 00:15:00,CPTY_G,Bank,RU,TSLA,BUY,1259,84.6,106511.4,INR,1,1
T00016,2025-01-01 00:16:00,CPTY_C,HedgeFund,DE,USDINR,SELL,458,124.47,57007.26,EUR,0,0
T00017,2025-01-01 00:17:00,CPTY_C,HedgeFund,DE,TCS,BUY,1824,137.25,250344.0,GBP,1,0
T00018,2025-01-01 00:18:00,CPTY_F,Broker,AE,MSFT,BUY,328,87.63,28742.64,EUR,1,0
T00019,2025-01-01 00:19:00,CPTY_B,Broker,UK,USDINR,SELL,616,92.57,57023.12,GBP,1,0
T00020,2025-01-01 00:20:00,CPTY_F,Broker,AE,EURUSD,BUY,1650,154.25,254512.5,GBP,1,0
T00021,2025-01-01 00:21:00,CPTY_G,Bank,RU,AAPL,BUY,1289,74.2,95643.8,USD,1,0
T00022,2025-01-01 00:22:00,CPTY_G,Bank,RU,TCS,SELL,971,162.59,157874.89,GBP,1,0
T00023,2025-01-01 00:23:00,CPTY_A,Bank,US,TSLA,SELL,1069,88.04,94114.76,EUR,1,0
T00024,2025-01-01 00:24:00,CPTY_F,Broker,AE,USDINR,SELL,824,114.28,94166.72,INR,1,0
T00025,2025-01-01 00:25:00,CPTY_B,Broker,UK,INFY,BUY,353,79.93,28215.29,EUR,1,0
T00026,2025-01-01 00:26:00,CPTY_F,Broker,AE,EURUSD,SELL,1732,113.15,195975.8,INR,1,0
T00027,2025-01-01 00:27:00,CPTY_E,FinTech,SG,HDFCBANK,SELL,1077,138.75,149433.75,EUR,1,0
T00028,2025-01-01 00:28:00,CPTY_B,Broker,UK,EURUSD,SELL,438,86.89,38057.82,USD,1,0
T00029,2025-01-01 00:29:00,CPTY_G,Bank,RU,AAPL,BUY,1236,110.44,136503.84,EUR,0,0
T00030,2025-01-01 00:30:00,CPTY_F,Broker,AE,GOOG,SELL,132,83.17,10978.44,USD,1,0
T00031,2025-01-01 00:31:00,CPTY_D,Corporate,IN,HDFCBANK,SELL,870,116.16,101059.2,GBP,1,0
